sep=; 
ID;GEOID;Name;Short Name;Total Enrollment (FY23);Revenue: MAEP (FY24);Revenue: MAEP PP (FY24);Revenue: Local (FY22);Revenue: Local PP (FY22);Revenue: Total (MAEP + Local);Revenue: Total PP (MAEP + Local);Revenue: Federal (FY22);Revenue: Federal PP (FY22);Projected Revenue: State Formula;Projected Revenue: State Formula PP;Projected Revenue: Total (State + Local);Projected Revenue: Total PP (State + Local);Change in Revenue: Total (State + Local);Change in Revenue: Total PP (State + Local);Assessed Value (FY22);Assessed Value PP (FY22);Direct Certification % (FY24);Census Poverty % (FY21);ELL % (FY23);Vocational % (FY23);SPED Tier 1 %;SPED Tier 2 %;SPED Tier 3 %;Students per Square Mile;Calculations: Weighted Enrollment;Calculations: Formula Amount;Calculations: Mills Rule Expectation;Calculations: Maximum % Expectation;Calculations: Sparsity Multiplier %
800;2800930;CARROLL COUNTY;CARROLL COU;805;4398452;5463;2896775;3598;7295227;9062;3245091;4031;4268077;5301;7164852;8900;-130374;-161;89665115;111385;0.43;0.22;0.04;0.22;0.111;0.053;0.006;1.3;974;5846681;2510623;1578603;0
911;2800200;CHICKASAW COUNTY CONSOL;CHICKASAW C;2214;13120068;5925;4476040;2021;17596108;7947;5634791;2545;14092672;6365;18568712;8386;972604;439;79249443;35794;0.33;0.26;0.02;0.38;0.084;0.077;0.005;5.5;2718;16311657;2218984;4404147;0
1000;2800990;CHOCTAW COUNTY;CHOCTAW COU;1230;7042868;5725;11067317;8997;18110185;14723;4353851;3539;6406422;5208;17473739;14206;-636445;-517;277658436;225738;0.23;0.3;0;0.3;0.13;0.099;0;2.9;1462;8775921;7774436;2369498;0
1100;2801020;CLAIBORNE COUNTY;CLAIBORNE C;1188;6623088;5574;5292737;4455;11915825;10030;3868931;3256;7255971;6107;12548709;10562;632883;532;78029909;65681;0.56;0.4;0;0.49;0.062;0.079;0.013;2.4;1573;9440809;2184837;2549018;0
1420;2801050;CLARKSDALE;CLARKSDALE;2118;12061369;5694;5040967;2380;17102336;8074;14527676;6859;13944405;6583;18985373;8963;1883036;889;72043654;34014;0.57;0.52;0.01;0.27;0.04;0.062;0.009;112.7;2660;15961628;2017222;4309639;0
1425;.;CLARKSDALE COLLEGIATE;CLARKSDALE;511;3758302;7354;396211;775;4154513;8130;1251932;2449;3067772;6003;3463983;6778;-690529;-1351;17381637;34014;0.52;0.52;0;0;0.07;0.049;0;NaN;592;3554458;486685;959703;0
614;2800750;CLEVELAND;CLEVELAND;2818;14951069;5305;12328721;4374;27279790;9680;9162184;3251;15349997;5447;27678719;9822;398928;141;219291113;77817;0.45;0.41;0.02;0.31;0.082;0.072;0.009;26.2;3504;21027393;6140151;5677396;0
2521;2801090;CLINTON;CLINTON;5211;27452788;5268;19754262;3790;47207050;9059;9536034;1829;27400801;5258;47155063;9049;-51986;-9;295475086;56702;0.18;0.16;0.05;0.24;0.07;0.048;0.002;38.9;5945;35674103;8273302;9632008;0
1400;2801110;COAHOMA COUNTY;COAHOMA COU;988;5732004;5801;5658673;5727;11390677;11529;5966637;6039;5571217;5638;11229890;11366;-160786;-162;146041533;147815;0.53;0.44;0;0.37;0.103;0.065;0.015;1.8;1271;7631804;4089162;2060587;0
8111;2801140;COFFEEVILLE;COFFEEVILLE;417;2414487;5790;1989737;4771;4404224;10561;2464604;5910;2305646;5529;4295384;10300;-108840;-261;50220901;120433;0.5;0.35;0;0.31;0.086;0.072;0.012;1.2;526;3158419;1406185;852773;0
4620;2801170;COLUMBIA;COLUMBIA;1646;9629524;5850;6203323;3768;15832847;9618;6256365;3800;9617114;5842;15820437;9611;-12409;-7;86535046;52572;0.32;0.3;0;0.3;0.108;0.112;0.003;24.8;2006;12040095;2422981;3250825;0
4420;2801200;COLUMBUS;COLUMBUS;3090;16296779;5274;13334111;4315;29630890;9589;13193710;4269;17646828;5710;30980939;10026;1350049;436;219959187;71184;0.55;0.33;0.01;0.36;0.061;0.101;0.005;46.9;3967;23805685;6158857;6427535;0
1500;2801220;COPIAH COUNTY;COPIAH COUN;2205;12268733;5564;4941811;2241;17210544;7805;6866971;3114;12387292;5617;17329103;7859;118559;53;131557669;59663;0.39;0.25;0.05;0.25;0.088;0.064;0.008;4.9;2678;16070907;3683614;4339144;0
220;2801260;CORINTH;CORINTH;2490;12491659;5016;6702195;2691;19193854;7708;5945567;2387;15198276;6103;21900472;8795;2706617;1086;111802151;44900;0.32;0.27;0.09;0.39;0.075;0.051;0.006;81.7;3054;18328736;3130460;4948758;0
1600;2801290;COVINGTON COUNTY;COVINGTON C;2609;14550844;5577;10299071;3947;24849915;9524;11599438;4445;13748713;5269;24047784;9217;-802130;-307;291463847;111714;0.38;0.29;0.02;0.21;0.159;0.075;0.002;6.3;3138;18833853;8160987;5085140;0
1700;2801320;DESOTO COUNTY;DESOTO COUN;35003;180112662;5145;121174285;3461;301286947;8607;51394776;1468;183223420;5234;304397706;8696;3110758;88;2093952456;59822;0.18;0.13;0.04;0.21;0.056;0.092;0.004;73.5;40309;241854089;58630668;65300604;0
6811;2801410;E. TALLAHATCHIE;E. TALLAHAT;853;4720395;5533;2587029;3032;7307424;8566;4882824;5724;4757908;5577;7344937;8610;37513;43;55403895;64951;0.4;0.43;0;0.38;0.076;0.048;0.006;2.3;1051;6309217;1551309;1703488;0
3111;2801380;EAST JASPER;EAST JASPER;755;4333037;5739;5808166;7692;10141203;13432;3508970;4647;4026817;5333;9834984;13026;-306219;-405;87543481;115951;0.37;0.3;0.01;0.28;0.07;0.086;0.007;2.3;919;5516188;2451217;1489370;0
1211;2801440;ENTERPRISE;ENTERPRISE;955;5075324;5314;3690708;3864;8766032;9179;1824087;1910;4868500;5097;8559208;8962;-206823;-216;63742402;66745;0.13;0.15;0;0.3;0.077;0.089;0.005;5.3;1108;6653287;1784787;1796387;0
6220;2801470;FOREST SEPARATE;FOREST SEPA;1645;8423419;5120;5753213;3497;14176632;8618;4835253;2939;8871682;5393;14624896;8890;448263;272;95245718;57900;0.27;0.28;0.31;0.11;0.092;0.058;0.006;18.3;1923;11538562;2666880;3115411;0
1802;2801510;FORREST AHS;FORREST AHS;611;3345400;5475;2377849;3891;5723249;9367;1634607;2675;3612235;5912;5990084;9803;266835;436;748694356;1225359;0.28;0;0.02;0.79;0.079;0.085;0.025;NaN;824;4948268;20963441;1336032;0
1800;2801490;FORREST COUNTY;FORREST COU;2129;11480488;5392;9137099;4291;20617587;9684;9825275;4614;11282111;5299;20419211;9590;-198376;-93;190120521;89300;0.34;0.25;0.05;0.27;0.11;0.08;0.005;6.1;2575;15454947;5323374;4172835;0
1900;2801530;FRANKLIN COUNTY;FRANKLIN CO;1211;7404663;6114;3442611;2842;10847274;8957;5208620;4301;6712171;5542;10154782;8385;-692491;-571;69724254;57575;0.26;0.31;0;0.25;0.135;0.094;0.008;2.1;1444;8664450;1952279;2339401;0
2000;2801560;GEORGE COUNTY;GEORGE COUN;4165;22454696;5391;9944452;2387;32399148;7778;14084643;3381;24346255;5845;34290708;8233;1891559;454;191494360;45977;0.24;0.2;0.01;0.33;0.097;0.069;0.004;8.7;4951;29708097;5361842;8021186;0
2100;2801590;GREENE COUNTY;GREENE COUN;1640;9435654;5753;6635647;4046;16071301;9799;6685145;4076;8773775;5349;15409422;9395;-661878;-403;127561139;77781;0.26;0.23;0;0.47;0.083;0.05;0.006;2.3;2003;12018869;3571711;3245094;0
7620;2801620;GREENVILLE;GREENVILLE;3542;19253569;5435;11675470;3296;30929039;8732;16480297;4652;21331575;6022;33007045;9318;2078006;586;192946670;54473;0.63;0.43;0;0.28;0.067;0.039;0.004;94.4;4455;26734081;5402506;7218202;0
4211;2800198;GREENWOOD-LEFLORE CONS;GREENWOOD-L;4030;20604122;5112;12187376;3024;32791498;8136;16341008;4054;22420836;5563;34608212;8587;1816714;450;289602474;71861;0.59;0.47;0.03;0.31;0.068;0.053;0.004;6.8;5088;30529705;8108869;8243020;0
2220;2801680;GRENADA;GRENADA;3864;21165254;5477;9572418;2477;30737672;7954;15370924;3977;21593764;5588;31166182;8065;428510;110;237606404;61492;0.3;0.34;0;0.3;0.042;0.125;0.009;9.2;4707;28246743;6652979;7626620;0
2421;2801710;GULFPORT;GULFPORT;6113;32341303;5290;31515294;5155;63856597;10446;22103133;3615;33067319;5409;64582613;10564;726016;118;434496601;71077;0.45;0.33;0.05;0.27;0.076;0.082;0.004;271.2;7538;45233224;12165904;12212970;0
2300;2801740;HANCOCK COUNTY;HANCOCK COU;4060;22277593;5487;19348284;4765;41625877;10252;10670942;2628;21148050;5208;40496335;9974;-1129542;-278;429008462;105667;0.23;0.21;0;0.32;0.1;0.078;0.004;10.3;4828;28969931;12012236;7821881;0
2400;2801770;HARRISON COUNTY;HARRISON CO;14355;74260959;5173;56565734;3940;130826693;9113;30180940;2102;75492182;5258;132057916;9199;1231223;85;1083351007;75468;0.35;0.23;0.04;0.24;0.063;0.088;0.004;31.4;17235;103413948;30333828;27921765;0
1820;2801800;HATTIESBURG;HATTIESBURG;3667;18737319;5109;23641465;6447;42378784;11556;16408732;4474;20723440;5651;44364905;12098;1986121;541;359925572;98152;0.54;0.34;0.06;0.4;0.052;0.076;0.008;151.7;4731;28388274;10077916;7664834;0
1520;2801830;HAZLEHURST;HAZLEHURST;1368;6786948;4961;5442692;3978;12229640;8939;4178602;3054;7602332;5557;13045025;9535;815384;596;112843167;82487;0.51;0.32;0.1;0.38;0.031;0.046;0.007;4.1;1735;10414154;3159608;2811821;0
2500;2801860;HINDS COUNTY;HINDS COUNT;4968;25730985;5179;28401203;5716;54132188;10896;10854508;2184;25587659;5150;53988862;10867;-143325;-28;438303154;88225;0.3;0.2;0.01;0.24;0.068;0.056;0.004;7.9;5841;35051588;12272488;9463928;0
7611;2801890;HOLLANDALE;HOLLANDALE;548;3280251;5985;1852461;3380;5132712;9366;4336243;7912;3133666;5718;4986128;9098;-146584;-267;33595788;61306;0.73;0.37;0;0.04;0.084;0.057;0.009;2.9;679;4074348;940682;1100074;0
4720;2801950;HOLLY SPRINGS;HOLLY SPRIN;1025;5614588;5477;5233731;5106;10848319;10583;4063947;3964;5615817;5478;10849548;10584;1229;1;93105768;90834;0.43;0.33;0.02;0.33;0.102;0.076;0.01;5.7;1282;7692900;2606961;2077083;0
2611;2800195;HOLMES CONSOL;HOLMES CONS;2544;13771855;5413;6609648;2598;20381503;8011;20286509;7974;15735824;6185;22345473;8783;1963969;772;126743852;49820;0.57;0.43;0;0.35;0.071;0.05;0.004;3.4;3214;19284652;3548827;5206856;0
2700;2802040;HUMPHREYS COUNTY;HUMPHREYS C;1207;7387242;6120;3266347;2706;10653589;8826;4763728;3946;7319903;6064;10586250;8770;-67338;-55;86307092;71505;0.64;0.43;0;0.53;0.107;0.052;0.012;2.9;1622;9736501;2416598;2628855;0
2900;2802100;ITAWAMBA COUNTY;ITAWAMBA CO;3375;20321707;6021;7590614;2249;27912321;8270;7372394;2184;19380184;5742;26970799;7991;-941522;-278;165219091;48953;0.18;0.16;0.01;0.29;0.084;0.126;0.004;6.3;4001;24006318;4626134;6481706;0
3000;2802160;JACKSON COUNTY;JACKSON COU;8906;45308724;5087;39052547;4384;84361271;9472;19167342;2152;44446852;4990;83499400;9375;-861871;-96;595877347;66907;0.16;0.15;0.02;0.22;0.075;0.062;0.005;17.3;10147;60886099;16684565;16439246;0
2520;2802190;JACKSON PUBLIC;JACKSON PUB;18710;95857473;5123;96927943;5180;192785416;10303;67919104;3630;104088520;5563;201016463;10743;8231047;439;1263888496;67551;0.54;0.4;0.02;0.27;0.046;0.068;0.002;179.7;23246;139477398;35388877;37658897;0
3300;2802250;JEFF DAVIS COUNTY;JEFF DAVIS;1235;7115815;5761;5841123;4729;12956938;10491;7500445;6073;6757371;5471;12598495;10201;-358443;-290;106799513;86477;0.38;0.37;0;0.41;0.104;0.066;0.008;3;1542;9256673;2990386;2499301;0
3200;2802220;JEFFERSON COUNTY;JEFFERSON C;1063;6075832;5715;3264024;3070;9339856;8786;7157999;6733;6512979;6126;9777003;9197;437147;411;54231899;51017;0.51;0.43;0;0.37;0.065;0.06;0.005;2;1338;8031472;1518493;2168497;0
3400;2802280;JONES COUNTY;JONES COUNT;8524;48754945;5719;24411833;2863;73166778;8583;18990452;2227;50002769;5866;74414603;8730;1247824;146;381635981;44771;0.24;0.21;0.07;0.23;0.089;0.085;0.011;12.5;10114;60688577;10685807;16385915;0
3500;2802310;KEMPER COUNTY;KEMPER COUN;884;5223304;5908;7984702;9032;13208006;14941;4120973;4661;4871308;5510;12856011;14542;-351995;-398;345641840;390997;0.49;0.38;0;0.36;0.07;0.068;0.006;1.2;1112;6673026;9677971;1801717;0
420;2802340;KOSCIUSKO;KOSCIUSKO;2123;11562251;5446;5823437;2743;17385688;8189;9306818;4383;12271300;5780;18094738;8523;709049;333;109045533;51363;0.32;0.3;0.01;0.27;0.091;0.087;0.005;13.9;2554;15324575;3053274;4137635;0
3600;2802370;LAFAYETTE COUNTY;LAFAYETTE C;2872;15004848;5224;12444490;4333;27449338;9557;4294321;1495;15233992;5304;27678483;9637;229144;79;178094444;62010;0.16;0.16;0.01;0.3;0.108;0.077;0.008;5.3;3370;20220637;4986644;5459572;0
3700;2802400;LAMAR COUNTY;LAMAR COUNT;10276;53336592;5190;38313782;3728;91650374;8918;22842073;2222;53969953;5252;92283735;8980;633361;61;659171102;64146;0.19;0.17;0.03;0.29;0.103;0.081;0.004;18.5;12071;72426744;18456790;19555220;0
3800;2802430;LAUDERDALE COUNTY;LAUDERDALE;5910;32497008;5498;17790339;3010;50287347;8508;12958370;2192;33121869;5604;50912209;8614;624861;105;334068084;56525;0.25;0.19;0.02;0.33;0.065;0.078;0.007;9.1;7079;42475776;9353906;11468459;0
3420;2802460;LAUREL;LAUREL;2712;13360553;4926;14655250;5403;28015803;10330;8772059;3234;14532515;5358;29187765;10762;1171962;432;216470400;79819;0.48;0.34;0.07;0.15;0.069;0.081;0.011;185.6;3317;19907554;6061171;5375039;0
3900;2802490;LAWRENCE COUNTY;LAWRENCE CO;1696;9634705;5680;7374467;4348;17009172;10028;4744510;2797;9114918;5374;16489386;9722;-519786;-306;123915645;73063;0.33;0.26;0.01;0.34;0.096;0.071;0.012;3.9;2081;12486189;3469638;3371271;0
4000;2802520;LEAKE COUNTY;LEAKE COUNT;2532;14786799;5839;5407327;2135;20194126;7975;10802074;4266;14793823;5842;20201150;7978;7024;2;133256073;52628;0.31;0.29;0.11;0.28;0.061;0.111;0.005;4.3;3087;18524993;3731170;5001748;0
4100;2802550;LEE COUNTY;LEE COUNTY;6303;34181820;5423;23825813;3780;58007633;9203;12212271;1937;33922253;5381;57748067;9161;-259566;-41;367185658;58255;0.25;0.2;0.02;0.25;0.09;0.063;0.003;20.5;7367;44203452;10281198;11934932;0
4225;.;LEFLORE LEGACY;LEFLORE LEG;241;1790227;7428;772039;3203;2562266;10631;1012642;4201;1278193;5303;2050233;8507;-512033;-2124;17318659;71861;0.56;0.47;0;0.02;0.066;0.062;0.021;NaN;291;1750950;484922;472756;0
7612;2802610;LELAND;LELAND;700;3775526;5393;3894638;5563;7670164;10957;5355699;7650;3918917;5598;7813555;11162;143391;204;65061661;92945;0.59;0.31;0;0.35;0.09;0.05;0.007;3.7;894;5368380;1821726;1449462;0
4300;2802640;LINCOLN COUNTY;LINCOLN COU;2795;16621900;5947;6118841;2189;22740741;8136;4856062;1737;16634823;5951;22753665;8140;12923;4;118507309;42399;0.23;0.2;0;0.36;0.103;0.051;0.005;6.4;3325;19953027;3318204;5387317;0
2422;2802670;LONG BEACH;LONG BEACH;2929;16936883;5782;10147927;3464;27084810;9247;10563525;3606;16389225;5595;26537153;9060;-547657;-186;151835698;51838;0.23;0.17;0.02;0.22;0.07;0.101;0.006;180.5;3440;20640625;4251399;5572968;0
8020;2802700;LOUISVILLE;LOUISVILLE;2523;13902751;5510;8706891;3451;22609642;8961;8989137;3562;13950200;5529;22657092;8980;47449;18;162612996;64452;0.38;0.3;0;0.38;0.066;0.044;0.004;4.2;3083;18503364;4553163;4995908;0
4400;2802730;LOWNDES COUNTY;LOWNDES COU;5261;27863499;5296;32506676;6178;60370175;11475;11894740;2260;27268367;5183;59775044;11361;-595131;-113;525752502;99933;0.23;0.18;0.01;0.3;0.088;0.074;0.006;12;6225;37353928;14721070;10085560;0
4500;2802790;MADISON COUNTY;MADISON COU;13162;66965845;5087;81414049;6185;148379894;11273;18540132;1408;67607441;5136;149021491;11322;641596;48;1538036801;116854;0.13;0.1;0.05;0.37;0.055;0.067;0.006;25;15435;92612934;43065030;25005492;0
4600;2802820;MARION COUNTY;MARION COUN;1904;11710691;6150;5635882;2960;17346573;9110;9011834;4733;11115562;5838;16751444;8798;-595128;-312;101296435;53201;0.32;0.27;0;0.4;0.12;0.056;0.003;4;2325;13951862;2836300;3767002;0
4700;2802850;MARSHALL COUNTY;MARSHALL CO;2777;14548948;5239;10457297;3765;25006245;9004;9336823;3362;14783220;5323;25240518;9089;234272;84;344542223;124069;0.29;0.28;0.08;0.36;0.062;0.057;0.009;5.3;3375;20250987;9647182;5467766;0
5720;2802880;MCCOMB;MCCOMB;2140;11428389;5340;8534905;3988;19963294;9328;9335373;4362;12106307;5657;20641212;9645;677918;316;141899713;66308;0.51;0.37;0.02;0.33;0.057;0.068;0.002;48.5;2679;16079498;3973191;4341464;0
3820;2802910;MERIDIAN;MERIDIAN;4614;22787246;4938;22438180;4863;45225426;9801;17171470;3721;25726938;5575;48165118;10438;2939692;637;367691584;79690;0.6;0.36;0.02;0.25;0.037;0.09;0.01;85.9;5873;35242380;10295364;9515442;0
2525;.;MIDTOWN PUBLIC CHARTER;MIDTOWN PUB;284;2092627;7368;1066233;3754;3158860;11122;775995;2732;1478435;5205;2544668;8960;-614191;-2162;19184624;67551;0.58;0.4;0;0.02;0.035;0.07;0;NaN;335;2015604;537169;544213;0
4800;2802940;MONROE COUNTY;MONROE COUN;2119;12263793;5787;5580181;2633;17843974;8420;4217787;1990;11411905;5385;16992086;8018;-851887;-402;132970709;62751;0.15;0.15;0;0.4;0.111;0.075;0.007;5.4;2522;15135085;3723179;4086473;0
3020;2803000;MOSS POINT;MOSS POINT;1569;10414429;6637;9817268;6257;20231697;12894;10835532;6906;8841027;5634;18658296;11891;-1573401;-1002;170728849;108813;0.53;0.3;0.04;0.41;0.071;0.082;0.003;15.1;2018;12110997;4780407;3269969;0
617;2800186;N. BOLIVAR CONS;N. BOLIVAR;780;5815099;7455;2269876;2910;8084975;10365;5382890;6901;5089296;6524;7359172;9434;-725802;-930;36309085;46550;0.6;0.61;0.01;0.44;0.078;0.06;0.006;3.8;1017;6105951;1016654;1648606;0
7011;2803270;N. TIPPAH;N. TIPPAH;1286;7713499;5998;3285728;2554;10999227;8553;4015698;3122;7708117;5993;10993846;8548;-5381;-4;47595603;37010;0.18;0.26;0;0.3;0.173;0.065;0.004;6.6;1506;9040794;1332676;2441014;0
130;2803030;NATCHEZ-ADAMS;NATCHEZ-ADA;2842;15477880;5446;14761348;5194;30239228;10640;11681465;4110;15567916;5477;30329265;10671;90036;31;320557180;112792;0.47;0.36;0;0.31;0.09;0.088;0.005;6.1;3554;21325913;8975601;5757996;0
5000;2803060;NESHOBA COUNTY;NESHOBA COU;3038;20113521;6620;5845157;1924;25958678;8544;15123730;4978;18949796;6237;24794954;8161;-1163724;-383;124951330;41129;0.28;0.28;0;0.42;0.093;0.083;0.007;5.7;3741;22448433;3498637;6061077;0
4111;2803090;NETTLETON;NETTLETON;1112;6627928;5960;2491966;2240;9119894;8201;2793832;2512;6780921;6097;9272888;8338;152993;137;44823031;40308;0.27;0.22;0.01;0.37;0.103;0.063;0.004;11.3;1339;8035966;1255044;2169711;0
7320;2803120;NEW ALBANY;NEW ALBANY;2114;11997472;5675;8088117;3825;20085589;9501;4842368;2290;12223439;5782;20311556;9608;225967;106;107360999;50785;0.22;0.23;0.09;0.36;0.102;0.077;0.002;27.5;2538;15229547;3006107;4111977;0
5100;2803150;NEWTON COUNTY;NEWTON COUN;1688;10174574;6027;4501917;2667;14676491;8694;5342700;3165;9839862;5829;14341780;8496;-334711;-198;73661085;43638;0.2;0.24;0;0.31;0.06;0.082;0.006;4.2;1983;11902372;2062510;3213640;0
5130;2803180;NEWTON MUNICIPAL;NEWTON MUNI;816;4639264;5685;3547304;4347;8186568;10032;5411990;6632;4466986;5474;8014291;9821;-172277;-211;72751727;89156;0.42;0.35;0;0.3;0.078;0.08;0.018;6;1019;6119159;2037048;1652173;0
5411;2803210;NORTH PANOLA;NORTH PANOL;1219;6404328;5253;4670309;3831;11074637;9085;3902052;3201;6779301;5561;11449610;9392;374973;307;87683457;71930;0.5;0.41;0;0.38;0.07;0.066;0.004;4.1;1539;9234438;2455136;2493298;0
5711;2803240;NORTH PIKE;NORTH PIKE;2245;13701157;6102;5573192;2482;19274349;8585;10739904;4783;13743537;6121;19316729;8604;42380;18;84591365;37679;0.32;0.27;0;0.28;0.112;0.064;0.004;17.8;2685;16112095;2368558;4350265;0
5200;2803300;NOXUBEE COUNTY;NOXUBEE COU;1397;7948478;5689;4230854;3028;12179332;8718;6357876;4551;8406872;6017;12637727;9046;458394;328;80328913;57501;0.56;0.39;0.02;0.31;0.051;0.07;0.011;2;1776;10656082;2249209;2877142;0
3021;2803360;OCEAN SPRINGS;OCEAN SPRIN;5861;31509998;5376;22054499;3762;53564497;9139;10502145;1791;31481026;5371;53535525;9134;-28971;-4;341284002;58229;0.12;0.11;0.02;0.32;0.081;0.077;0.01;171.8;6839;41036978;9555952;11079984;0
921;2803390;OKOLONA;OKOLONA;511;3425341;6703;1788241;3499;5213582;10202;2487390;4867;3127986;6121;4916228;9620;-297354;-581;28085972;54962;0.43;0.32;0;0.44;0.104;0.08;0.01;4.4;652;3914394;786407;1056886;0
3620;2803450;OXFORD;OXFORD;4766;22721419;4767;38762587;8133;61484006;12900;9080889;1905;24288035;5096;63050623;13229;1566616;328;616326244;129317;0.17;0.15;0.08;0.28;0.078;0.059;0.005;55.3;5545;33271281;17257134;8983246;0
3022;2803480;PASCAGOULA;PASCAGOULA;6565;34158783;5203;52236402;7956;86395185;13159;23446694;3571;34952950;5324;87189353;13280;794167;120;1022081136;155686;0.36;0.26;0.09;0.28;0.06;0.068;0.008;92;7980;47880754;28618271;12927803;0
2423;2803510;PASS CHRISTIAN;PASS CHRIST;1944;9894677;5089;12821808;6595;22716485;11685;5104203;2625;10320304;5308;23142112;11904;425627;218;228928204;117761;0.27;0.19;0.01;0.34;0.06;0.092;0.008;33.3;2356;14137402;6409989;3817098;0
6120;2803520;PEARL;PEARL;4216;22311844;5292;15918153;3775;38229997;9067;8569410;2032;23101637;5479;39019791;9255;789793;187;241493274;57280;0.25;0.2;0.04;0.28;0.093;0.072;0.002;164.8;4977;29863449;6761811;8063131;0
5500;2803540;PEARL RIVER COUNTY;PEARL RIVER;3284;18465052;5622;8511724;2591;26976776;8214;5974656;1819;19263237;5865;27774961;8457;798185;243;138522803;42181;0.21;0.15;0.01;0.28;0.073;0.079;0.005;24.7;3856;23141875;3878638;6248306;0
5600;2803570;PERRY COUNTY;PERRY COUNT;933;5581051;5981;4166449;4465;9747500;10447;4325843;4636;5193720;5566;9360169;10032;-387330;-415;105980327;113590;0.38;0.28;0;0.48;0.123;0.08;0.005;1.8;1185;7114685;2967449;1920965;0
